Id;Num3DNeighbours;3DNeighbours
872;2;70;248
873;2;63;164
874;2;63;161
875;2;66;69
876;2;69;161
877;2;67;72
878;2;65;248
879;2;66;248
880;2;65;68
881;2;66;68
882;1;65
883;1;66
884;2;65;67
885;2;66;67
886;2;65;226
887;2;66;226
888;1;68
889;2;67;68
890;2;67;248
891;2;65;66
892;1;73
893;2;74;226
894;2;73;274
895;2;74;274
896;1;274
897;1;70
898;1;71
899;2;70;164
900;2;71;164
901;2;70;73
902;2;71;73
903;2;70;74
904;2;71;74
905;1;70
906;1;71
907;2;70;226
908;2;71;226
909;2;72;226
910;2;72;164
911;1;74
912;2;73;226
913;2;73;74
914;2;70;71
915;2;75;78
916;2;76;78
917;1;75
918;1;76
919;1;75
920;1;76
921;2;75;79
922;2;76;79
923;1;78
924;1;79
925;2;78;79
926;2;75;76
927;1;80
928;1;81
929;2;80;82
930;2;81;82
931;1;80
932;1;81
933;2;80;86
934;2;81;86
935;2;82;86
936;1;82
937;1;86
938;2;80;81
939;1;111
940;2;111;116
941;1;111
942;1;96
943;2;126;280
944;2;126;127
945;1;280
946;1;127
947;2;126;283
948;2;87;292
949;2;87;126
950;2;126;294
951;2;292;296
952;2;126;296
953;1;292
954;1;126
955;2;126;293
956;2;87;230
957;2;126;292
958;2;278;293
959;2;279;282
960;2;281;293
961;2;280;293
962;2;127;293
963;2;87;279
964;2;87;293
965;2;293;296
966;2;278;282
967;2;278;290
968;2;87;281
969;2;87;282
970;2;127;280
971;2;118;120
972;2;113;121
973;2;114;121
974;2;120;121
975;2;92;121
976;2;116;121
977;1;92
978;1;116
979;2;101;159
980;2;89;159
981;1;101
982;1;89
983;2;101;228
984;2;89;228
985;1;159
986;1;102
987;2;122;187
988;2;93;187
989;2;122;168
990;2;93;125
991;2;122;129
992;2;122;166
993;2;92;122
994;2;92;93
995;2;116;122
996;2;93;116
997;2;116;129
998;2;125;187
999;2;92;187
1000;2;93;122
1001;2;168;268
1002;2;93;168
1003;2;166;168
1004;2;140;141
1005;2;93;166
1006;2;111;129
1007;2;111;128
1008;2;96;129
1009;2;96;128
1010;1;129
1011;1;128
1012;2;97;129
1013;2;97;128
1014;2;129;167
1015;2;128;167
1016;2;129;132
1017;2;128;132
1018;2;93;129
1019;2;93;128
1020;2;97;111
1021;1;96
1022;2;96;111
1023;2;93;97
1024;2;93;167
1025;2;128;129
1026;2;102;104
1027;2;100;102
1028;2;95;102
1029;2;94;102
1030;2;101;239
1031;2;101;102
1032;2;89;239
1033;2;89;102
1034;2;100;101
1035;2;89;94
1036;2;89;101
1037;2;102;239
1038;2;90;186
1039;2;91;186
1040;1;90
1041;1;91
1042;2;90;184
1043;2;91;184
1044;2;97;184
1045;1;95
1046;2;95;96
1047;2;96;97
1048;2;92;95
1049;2;92;97
1050;2;95;116
1051;2;97;116
1052;2;95;239
1053;2;97;239
1054;2;95;104
1055;2;97;104
1056;2;94;95
1057;2;94;97
1058;2;90;95
1059;2;90;97
1060;2;91;95
1061;2;91;97
1062;2;96;104
1063;2;91;94
1064;2;90;92
1065;2;96;116
1066;2;92;116
1067;2;104;239
1068;2;94;239
1069;2;90;91
1070;2;95;97
1071;2;110;235
1072;1;110
1073;2;110;244
1074;2;110;238
1075;2;110;237
1076;1;105
1077;1;235
1078;2;105;237
1079;1;105
1080;1;235
1081;1;237
1082;2;141;246
1083;2;109;238
1084;2;243;246
1085;2;238;246
1086;2;130;243
1087;2;243;268
1088;2;238;268
1089;1;103
1090;1;104
1091;2;103;268
1092;2;103;241
1093;1;103
1094;1;100
1095;2;131;240
1096;2;131;241
1097;2;241;242
1098;2;104;240
1099;2;104;241
1100;1;240
1101;1;241
1102;1;104
1103;2;108;164
1104;2;108;159
1105;2;110;160
1106;2;108;110
1107;1;160
1108;1;108
1109;2;160;236
1110;2;108;236
1111;1;110
1112;2;110;236
1113;2;108;160
1114;1;106
1115;1;107
1116;2;106;235
1117;2;106;159
1118;2;100;106
1119;1;159
1120;1;235
1121;2;106;107
1122;1;98
1123;1;109
1124;2;98;243
1125;2;109;243
1126;1;98
1127;1;109
1128;2;98;244
1129;2;109;244
1130;1;244
1131;1;243
1132;2;98;109
1133;2;228;236
1134;2;100;228
1135;2;236;239
1136;2;100;239
1137;2;105;236
1138;2;100;105
1139;2;103;236
1140;2;100;103
1141;2;104;236
1142;2;100;104
1143;2;100;268
1144;2;107;236
1145;2;100;107
1146;2;100;235
1147;2;159;236
1148;2;100;159
1149;2;103;105
1150;2;159;228
1151;2;228;239
1152;2;105;235
1153;2;103;104
1154;2;104;268
1155;2;107;235
1156;2;107;159
1157;2;100;236
1158;1;202
1159;1;203
1160;2;202;206
1161;2;203;206
1162;2;192;202
1163;2;202;205
1164;1;192
1165;1;204
1166;2;204;206
1167;2;183;192
1168;2;135;138
1169;1;138
1170;2;124;138
1171;2;137;138
1172;2;123;138
1173;2;117;123
1174;2;123;135
1175;1;117
1176;1;135
1177;1;115
1178;2;114;120
1179;1;114
1180;1;115
1181;1;120
1182;2;124;263
1183;2;119;263
1184;2;124;125
1185;2;123;124
1186;2;119;123
1187;2;124;166
1188;2;119;166
1189;1;124
1190;2;125;263
1191;2;125;166
1192;2;137;166
1193;1;123
1194;2;123;137
1195;2;119;124
1196;2;129;137
1197;2;129;139
1198;2;139;303
1199;2;137;168
1200;2;117;137
1201;2;135;137
1202;2;113;129
1203;2;129;168
1204;2;117;135
1205;2;112;122
1206;2;113;122
1207;2;112;114
1208;2;113;114
1209;2;112;115
1210;2;113;115
1211;1;112
1212;1;113
1213;2;112;120
1214;2;113;120
1215;2;112;137
1216;2;113;137
1217;2;112;139
1218;2;113;139
1219;2;112;117
1220;2;113;117
1221;2;122;137
1222;2;120;122
1223;1;117
1224;1;114
1225;2;115;120
1226;2;114;115
1227;2;117;139
1228;2;112;113
1229;1;118
1230;2;119;185
1231;2;118;119
1232;2;125;185
1233;2;118;125
1234;2;121;185
1235;2;118;121
1236;1;185
1237;1;118
1238;2;122;185
1239;2;118;122
1240;1;121
1241;2;121;122
1242;2;122;125
1243;2;119;125
1244;1;119
1245;2;118;185
1246;1;302
1247;1;148
1248;1;265
1249;2;265;300
1250;1;300
1251;2;188;287
1252;2;279;307
1253;2;300;307
1254;2;287;305
1255;1;307
1256;2;287;306
1257;1;305
1258;1;301
1259;2;136;300
1260;2;136;148
1261;2;148;301
1262;2;300;302
1263;1;148
1264;2;148;300
1265;2;276;295
1266;2;145;152
1267;2;152;273
1268;1;143
1269;1;189
1270;2;143;188
1271;2;143;190
1272;2;143;294
1273;2;152;189
1274;2;143;276
1275;2;189;276
1276;2;143;189
1277;1;264
1278;2;148;298
1279;2;264;296
1280;1;265
1281;2;148;265
1282;2;152;295
1283;2;152;297
1284;2;266;295
1285;2;266;297
1286;2;143;295
1287;2;143;297
1288;2;264;295
1289;2;264;297
1290;2;297;298
1291;2;148;295
1292;2;148;297
1293;2;143;296
1294;2;148;266
1295;2;143;152
1296;2;148;264
1297;1;296
1298;1;299
1299;2;279;296
1300;2;279;299
1301;2;287;299
1302;2;127;296
1303;2;127;299
1304;2;296;300
1305;2;299;300
1306;1;296
1307;2;295;296
1308;2;296;298
1309;1;127
1310;2;127;279
1311;2;144;227
1312;2;145;227
1313;2;144;270
1314;1;144
1315;1;145
1316;2;227;270
1317;1;266
1318;1;277
1319;2;147;277
1320;1;277
1321;2;152;277
1322;1;276
1323;2;152;276
1324;2;142;150
1325;2;142;153
1326;2;134;150
1327;2;134;153
1328;2;150;304
1329;2;150;272
1330;2;147;272
1331;2;146;304
1332;2;134;142
1333;2;142;304
1334;2;139;141
1335;2;132;139
1336;2;141;168
1337;2;132;168
1338;1;132
1339;2;132;242
1340;2;131;132
1341;2;141;167
1342;2;132;167
1343;2;167;242
1344;1;139
1345;2;139;168
1346;2;132;141
1347;2;133;246
1348;2;130;134
1349;2;130;133
1350;1;134
1351;1;133
1352;2;133;267
1353;2;133;272
1354;1;272
1355;2;130;246
1356;2;133;134
1357;2;134;245
1358;2;134;267
1359;2;245;272
1360;2;246;267
1361;2;134;246
1362;2;134;272
1363;2;245;267
1364;2;140;246
1365;2;162;246
1366;2;140;153
1367;2;153;162
1368;2;140;245
1369;2;162;245
1370;2;140;167
1371;2;162;167
1372;2;140;168
1373;2;153;245
1374;2;167;246
1375;2;168;303
1376;2;153;304
1377;2;130;238
1378;2;131;238
1379;2;130;141
1380;2;131;141
1381;2;130;242
1382;2;131;242
1383;1;130
1384;1;131
1385;2;238;242
1386;1;238
1387;1;141
1388;2;141;242
1389;2;130;131
1390;2;137;302
1391;2;137;149
1392;2;139;302
1393;2;139;149
1394;2;135;302
1395;2;135;149
1396;2;136;302
1397;2;136;149
1398;2;301;302
1399;2;149;301
1400;1;302
1401;1;149
1402;1;135
1403;2;137;303
1404;2;135;139
1405;2;137;139
1406;1;136
1407;2;136;301
1408;2;304;306
1409;2;140;303
1410;2;140;304
1411;2;162;303
1412;2;162;304
1413;2;302;304
1414;2;149;303
1415;2;149;304
1416;2;162;306
1417;2;140;149
1418;2;140;162
1419;2;149;302
1420;2;153;270
1421;2;153;271
1422;2;248;270
1423;2;248;272
1424;2;151;153
1425;2;153;272
1426;2;151;306
1427;2;190;306
1428;2;145;151
1429;2;145;190
1430;2;151;189
1431;2;151;188
1432;2;151;270
1433;2;190;270
1434;2;151;271
1435;2;190;271
1436;2;271;306
1437;2;188;306
1438;2;145;189
1439;2;188;189
1440;2;145;270
1441;2;151;190
1442;2;226;273
1443;2;226;275
1444;2;273;276
1445;2;273;277
1446;2;144;273
1447;2;144;275
1448;2;145;273
1449;2;145;275
1450;2;144;226
1451;2;226;274
1452;2;145;276
1453;2;144;145
1454;2;146;188
1455;2;147;188
1456;2;146;266
1457;2;147;266
1458;1;146
1459;1;147
1460;2;146;152
1461;2;147;152
1462;2;146;150
1463;2;147;150
1464;2;146;153
1465;2;147;153
1466;2;153;188
1467;1;150
1468;2;152;188
1469;1;266
1470;2;152;266
1471;2;150;153
1472;2;146;147
1473;1;154
1474;1;155
1475;2;154;157
1476;2;155;157
1477;2;154;257
1478;2;155;257
1479;2;154;159
1480;2;155;159
1481;2;154;164
1482;2;155;164
1483;1;157
1484;2;157;257
1485;2;159;257
1486;2;160;164
1487;2;159;160
1488;1;164
1489;2;154;155
1490;2;161;165
1491;2;161;165
1492;2;161;247
1493;2;161;223
1494;2;247;258
1495;2;164;247
1496;2;165;258
1497;2;162;169
1498;2;162;169
1499;2;162;268
1500;2;162;168
1501;2;234;253
1502;2;234;253
1503;2;164;234
1504;2;228;244
1505;2;244;253
1506;2;244;253
1507;2;244;268
1508;2;244;253
1509;2;253;268
1510;2;163;253
1511;2;163;268
1512;2;163;268
1513;2;163;169
1514;2;164;257
1515;2;164;257
1516;2;221;284
1517;2;221;284
1518;2;215;284
1519;2;221;231
1520;2;231;284
1521;2;231;284
1522;2;230;283
