Id;Marker;Active;Origin;End
891;26;1;152;95
892;24;1;117;189
893;0;1;207;147
894;10;1;80;46
895;11;1;23;36
896;0;1;195;205
897;21;1;187;47
898;0;1;133;201
899;16;1;83;15
900;22;1;83;154
901;16;1;52;83
902;0;1;152;197
903;11;1;77;10
904;26;1;77;131
905;21;1;185;163
906;21;1;20;185
907;18;1;32;45
908;23;1;112;175
909;25;1;153;115
910;0;1;213;144
911;25;1;12;192
912;21;1;169;133
913;22;1;27;180
914;26;1;64;98
915;26;1;64;102
916;22;1;64;180
917;15;1;64;14
918;9;1;21;34
919;15;1;27;64
920;23;1;157;160
921;21;1;167;187
922;21;1;137;10
923;21;1;137;187
924;21;1;10;187
925;25;1;145;181
926;25;1;33;115
927;25;1;33;156
928;21;1;33;185
929;9;1;20;33
930;9;1;33;8
931;25;1;8;115
932;12;1;75;11
933;23;1;11;175
934;11;1;47;77
935;26;1;131;162
936;18;1;32;69
937;26;1;97;116
938;21;1;163;139
939;21;1;139;185
940;23;1;118;183
941;23;1;157;112
942;23;1;112;182
943;13;1;12;62
944;22;1;12;166
945;0;1;212;60
946;21;1;137;60
947;26;1;111;131
948;21;1;167;137
949;25;1;153;156
950;23;1;112;118
951;0;1;131;194
952;25;1;181;188
953;23;1;159;183
954;24;1;99;125
955;24;1;99;141
956;26;1;86;116
957;24;1;120;141
958;23;1;93;183
959;0;1;211;166
960;25;1;191;176
961;25;1;191;193
962;0;1;191;211
963;25;1;191;192
964;25;1;145;191
965;25;1;148;191
966;25;1;105;191
967;25;1;105;193
968;21;1;137;170
969;21;1;169;170
970;21;1;60;170
971;26;1;108;126
972;26;1;60;126
973;11;1;23;60
